,positions,eventName,goal,assist,key_pass,left_foot,right_foot
0,"[{'y': 50, 'x': 50}, {'y': 50, 'x': 40}]",Pass,False,False,False,False,False
1,"[{'y': 64, 'x': 71}, {'y': 67, 'x': 54}]",Pass,False,False,False,False,False
2,"[{'y': 74, 'x': 83}, {'y': 61, 'x': 77}]",Pass,False,False,False,False,False
3,"[{'y': 61, 'x': 82}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
4,"[{'y': 27, 'x': 70}, {'y': 33, 'x': 71}]",Pass,False,False,False,False,False
5,"[{'y': 57, 'x': 54}, {'y': 85, 'x': 66}]",Pass,False,False,False,False,False
6,"[{'y': 68, 'x': 68}, {'y': 43, 'x': 63}]",Pass,False,False,False,False,False
7,"[{'y': 37, 'x': 69}, {'y': 62, 'x': 71}]",Pass,False,False,False,False,False
8,"[{'y': 78, 'x': 73}, {'y': 68, 'x': 92}]",Free Kick,False,False,False,False,False
9,"[{'y': 67, 'x': 70}, {'y': 14, 'x': 81}]",Pass,False,False,False,False,False
10,"[{'y': 28, 'x': 80}, {'y': 0, 'x': 0}]",Free Kick,False,False,False,True,False
11,"[{'y': 58, 'x': 85}, {'y': 64, 'x': 90}]",Pass,False,False,True,False,False
12,"[{'y': 58, 'x': 79}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
13,"[{'y': 68, 'x': 57}, {'y': 69, 'x': 48}]",Pass,False,False,False,False,False
14,"[{'y': 55, 'x': 62}, {'y': 15, 'x': 61}]",Pass,False,False,False,False,False
15,"[{'y': 24, 'x': 63}, {'y': 22, 'x': 71}]",Pass,False,False,False,False,False
16,"[{'y': 24, 'x': 64}, {'y': 44, 'x': 77}]",Others on the ball,False,False,False,False,False
17,"[{'y': 60, 'x': 50}, {'y': 62, 'x': 66}]",Pass,False,False,False,False,False
18,"[{'y': 63, 'x': 70}, {'y': 68, 'x': 65}]",Pass,False,False,False,False,False
19,"[{'y': 41, 'x': 77}, {'y': 36, 'x': 80}]",Pass,False,False,False,False,False
20,"[{'y': 53, 'x': 84}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
21,"[{'y': 48, 'x': 67}, {'y': 35, 'x': 79}]",Pass,False,False,False,False,False
22,"[{'y': 12, 'x': 88}, {'y': 15, 'x': 68}]",Pass,False,False,False,False,False
23,"[{'y': 56, 'x': 47}, {'y': 64, 'x': 43}]",Pass,False,False,False,False,False
24,"[{'y': 61, 'x': 45}, {'y': 69, 'x': 45}]",Pass,False,False,False,False,False
25,"[{'y': 56, 'x': 49}, {'y': 68, 'x': 45}]",Pass,False,False,False,False,False
26,"[{'y': 55, 'x': 71}, {'y': 0, 'x': 0}]",Free Kick,False,False,False,True,False
27,"[{'y': 100, 'x': 100}, {'y': 45, 'x': 97}]",Free Kick,False,False,False,False,False
28,"[{'y': 57, 'x': 70}, {'y': 58, 'x': 85}]",Others on the ball,False,False,False,False,False
29,"[{'y': 58, 'x': 85}, {'y': 78, 'x': 91}]",Pass,False,False,False,False,False
30,"[{'y': 96, 'x': 64}, {'y': 80, 'x': 90}]",Pass,False,False,False,False,False
31,"[{'y': 57, 'x': 53}, {'y': 26, 'x': 26}]",Pass,False,False,False,False,False
32,"[{'y': 76, 'x': 85}, {'y': 56, 'x': 83}]",Pass,False,False,False,False,False
33,"[{'y': 54, 'x': 67}, {'y': 46, 'x': 72}]",Pass,False,False,False,False,False
34,"[{'y': 44, 'x': 71}, {'y': 43, 'x': 77}]",Pass,False,False,False,False,False
35,"[{'y': 56, 'x': 56}, {'y': 47, 'x': 52}]",Pass,False,False,False,False,False
36,"[{'y': 48, 'x': 72}, {'y': 50, 'x': 77}]",Pass,False,False,False,False,False
37,"[{'y': 31, 'x': 85}, {'y': 38, 'x': 87}]",Pass,False,False,False,False,False
38,"[{'y': 53, 'x': 72}, {'y': 35, 'x': 69}]",Pass,False,False,False,False,False
39,"[{'y': 64, 'x': 64}, {'y': 79, 'x': 85}]",Pass,False,False,False,False,False
40,"[{'y': 63, 'x': 71}, {'y': 75, 'x': 74}]",Pass,False,False,False,False,False
41,"[{'y': 50, 'x': 68}, {'y': 56, 'x': 87}]",Pass,False,False,False,False,False
42,"[{'y': 28, 'x': 56}, {'y': 8, 'x': 65}]",Pass,False,False,False,False,False
43,"[{'y': 48, 'x': 62}, {'y': 50, 'x': 74}]",Others on the ball,False,False,False,False,False
44,"[{'y': 50, 'x': 74}, {'y': 40, 'x': 81}]",Pass,False,False,False,False,False
45,"[{'y': 60, 'x': 70}, {'y': 42, 'x': 81}]",Others on the ball,False,False,False,False,False
46,"[{'y': 42, 'x': 81}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
47,"[{'y': 0, 'x': 100}, {'y': 41, 'x': 91}]",Free Kick,False,False,False,False,False
48,"[{'y': 15, 'x': 79}, {'y': 27, 'x': 80}]",Pass,False,False,False,False,False
49,"[{'y': 68, 'x': 59}, {'y': 56, 'x': 50}]",Pass,False,False,False,False,False
50,"[{'y': 55, 'x': 58}, {'y': 34, 'x': 61}]",Pass,False,False,False,False,False
51,"[{'y': 45, 'x': 68}, {'y': 39, 'x': 72}]",Pass,False,False,False,False,False
52,"[{'y': 94, 'x': 62}, {'y': 100, 'x': 63}]",Others on the ball,False,False,False,False,False
53,"[{'y': 63, 'x': 64}, {'y': 31, 'x': 68}]",Pass,False,False,False,False,False
54,"[{'y': 23, 'x': 72}, {'y': 16, 'x': 75}]",Pass,False,False,False,False,False
55,"[{'y': 19, 'x': 72}, {'y': 7, 'x': 36}]",Pass,False,False,False,False,False
56,"[{'y': 38, 'x': 65}, {'y': 12, 'x': 38}]",Pass,False,False,False,False,False
57,"[{'y': 79, 'x': 79}, {'y': 0, 'x': 0}]",Free Kick,False,False,False,True,False
58,"[{'y': 72, 'x': 62}, {'y': 51, 'x': 59}]",Pass,False,False,False,False,False
59,"[{'y': 28, 'x': 72}, {'y': 22, 'x': 60}]",Pass,False,False,False,False,False
60,"[{'y': 70, 'x': 74}, {'y': 70, 'x': 88}]",Pass,False,False,True,False,False
61,"[{'y': 72, 'x': 88}, {'y': 71, 'x': 90}]",Others on the ball,False,False,False,False,False
62,"[{'y': 80, 'x': 44}, {'y': 62, 'x': 34}]",Pass,False,False,False,False,False
63,"[{'y': 73, 'x': 60}, {'y': 89, 'x': 76}]",Pass,False,False,False,False,False
64,"[{'y': 29, 'x': 72}, {'y': 33, 'x': 82}]",Pass,False,False,False,False,False
65,"[{'y': 28, 'x': 78}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
66,"[{'y': 43, 'x': 91}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,False
67,"[{'y': 37, 'x': 55}, {'y': 56, 'x': 55}]",Pass,False,False,False,False,False
68,"[{'y': 79, 'x': 72}, {'y': 79, 'x': 84}]",Others on the ball,False,False,False,False,False
69,"[{'y': 60, 'x': 86}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
70,"[{'y': 65, 'x': 76}, {'y': 76, 'x': 74}]",Pass,False,False,False,False,False
71,"[{'y': 68, 'x': 49}, {'y': 62, 'x': 47}]",Pass,False,False,False,False,False
72,"[{'y': 52, 'x': 54}, {'y': 34, 'x': 53}]",Free Kick,False,False,False,False,False
73,"[{'y': 43, 'x': 55}, {'y': 46, 'x': 67}]",Pass,False,False,False,False,False
74,"[{'y': 29, 'x': 63}, {'y': 49, 'x': 69}]",Pass,False,False,False,False,False
75,"[{'y': 34, 'x': 78}, {'y': 47, 'x': 74}]",Pass,False,False,False,False,False
76,"[{'y': 33, 'x': 76}, {'y': 33, 'x': 87}]",Pass,False,False,False,False,False
77,"[{'y': 47, 'x': 87}, {'y': 19, 'x': 84}]",Others on the ball,False,False,False,False,False
78,"[{'y': 28, 'x': 94}, {'y': 0, 'x': 0}]",Pass,False,False,False,True,False
79,"[{'y': 11, 'x': 88}, {'y': 19, 'x': 78}]",Pass,False,False,False,False,False
80,"[{'y': 73, 'x': 66}, {'y': 74, 'x': 66}]",Others on the ball,False,False,False,False,False
81,"[{'y': 34, 'x': 71}, {'y': 91, 'x': 82}]",Pass,False,False,False,False,False
82,"[{'y': 52, 'x': 54}, {'y': 61, 'x': 46}]",Pass,False,False,False,False,False
83,"[{'y': 37, 'x': 65}, {'y': 65, 'x': 71}]",Pass,False,False,False,False,False
84,"[{'y': 50, 'x': 81}, {'y': 36, 'x': 82}]",Pass,False,False,False,False,False
85,"[{'y': 76, 'x': 66}, {'y': 74, 'x': 74}]",Pass,False,False,False,False,False
86,"[{'y': 97, 'x': 69}, {'y': 55, 'x': 73}]",Pass,False,False,False,False,False
87,"[{'y': 52, 'x': 67}, {'y': 47, 'x': 68}]",Pass,False,False,False,False,False
88,"[{'y': 51, 'x': 70}, {'y': 54, 'x': 74}]",Pass,False,False,False,False,False
89,"[{'y': 34, 'x': 80}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
90,"[{'y': 100, 'x': 100}, {'y': 53, 'x': 92}]",Free Kick,False,False,False,False,False
91,"[{'y': 96, 'x': 78}, {'y': 89, 'x': 69}]",Pass,False,False,False,False,False
92,"[{'y': 100, 'x': 75}, {'y': 89, 'x': 84}]",Free Kick,False,False,False,False,False
