,positions,eventName,goal,assist,key_pass,left_foot,right_foot
0,"[{'y': 27, 'x': 91}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
1,"[{'y': 53, 'x': 68}, {'y': 67, 'x': 53}]",Pass,False,False,False,False,False
2,"[{'y': 48, 'x': 96}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
3,"[{'y': 29, 'x': 38}, {'y': 62, 'x': 32}]",Pass,False,False,False,False,False
4,"[{'y': 40, 'x': 26}, {'y': 41, 'x': 40}]",Others on the ball,False,False,False,False,False
5,"[{'y': 41, 'x': 40}, {'y': 58, 'x': 44}]",Pass,False,False,False,False,False
6,"[{'y': 83, 'x': 85}, {'y': 53, 'x': 93}]",Pass,False,False,False,False,True
7,"[{'y': 66, 'x': 86}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
8,"[{'y': 81, 'x': 74}, {'y': 83, 'x': 92}]",Pass,False,False,False,False,False
9,"[{'y': 56, 'x': 7}, {'y': 100, 'x': 24}]",Others on the ball,False,False,False,False,False
10,"[{'y': 48, 'x': 88}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,False
11,"[{'y': 76, 'x': 75}, {'y': 95, 'x': 83}]",Pass,False,False,False,False,False
12,"[{'y': 27, 'x': 90}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
13,"[{'y': 44, 'x': 90}, {'y': 54, 'x': 91}]",Pass,False,False,False,False,False
14,"[{'y': 15, 'x': 74}, {'y': 4, 'x': 82}]",Pass,False,False,False,False,False
15,"[{'y': 55, 'x': 93}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
16,"[{'y': 42, 'x': 83}, {'y': 32, 'x': 86}]",Pass,False,False,False,False,False
17,"[{'y': 70, 'x': 87}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
18,"[{'y': 61, 'x': 90}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
19,"[{'y': 25, 'x': 83}, {'y': 38, 'x': 77}]",Pass,False,False,False,False,False
20,"[{'y': 71, 'x': 98}, {'y': 43, 'x': 95}]",Pass,False,False,False,False,True
21,"[{'y': 5, 'x': 80}, {'y': 25, 'x': 90}]",Others on the ball,False,False,False,False,False
22,"[{'y': 27, 'x': 98}, {'y': 0, 'x': 0}]",Pass,False,False,False,True,False
23,"[{'y': 27, 'x': 96}, {'y': 59, 'x': 98}]",Pass,False,False,True,True,False
24,"[{'y': 26, 'x': 77}, {'y': 24, 'x': 72}]",Pass,False,False,False,False,False
25,"[{'y': 47, 'x': 71}, {'y': 95, 'x': 76}]",Pass,False,False,False,False,False
26,"[{'y': 7, 'x': 87}, {'y': 17, 'x': 92}]",Others on the ball,False,False,False,False,False
27,"[{'y': 12, 'x': 93}, {'y': 14, 'x': 91}]",Foul,False,False,False,False,False
28,"[{'y': 93, 'x': 62}, {'y': 66, 'x': 70}]",Pass,False,False,False,False,False
29,"[{'y': 23, 'x': 63}, {'y': 32, 'x': 89}]",Others on the ball,False,False,False,False,False
30,"[{'y': 34, 'x': 88}, {'y': 44, 'x': 86}]",Pass,False,False,False,False,False
31,"[{'y': 31, 'x': 77}, {'y': 56, 'x': 87}]",Pass,False,False,False,False,False
32,"[{'y': 54, 'x': 90}, {'y': 53, 'x': 92}]",Foul,False,False,False,False,False
33,"[{'y': 25, 'x': 72}, {'y': 65, 'x': 67}]",Pass,False,False,False,False,False
34,"[{'y': 74, 'x': 65}, {'y': 96, 'x': 74}]",Pass,False,False,False,False,False
35,"[{'y': 13, 'x': 73}, {'y': 11, 'x': 94}]",Pass,False,False,False,False,False
36,"[{'y': 48, 'x': 86}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
37,"[{'y': 76, 'x': 69}, {'y': 95, 'x': 83}]",Pass,False,False,False,False,False
38,"[{'y': 46, 'x': 90}, {'y': 48, 'x': 91}]",Foul,False,False,False,False,False
39,"[{'y': 72, 'x': 59}, {'y': 47, 'x': 53}]",Pass,False,False,False,False,False
40,"[{'y': 89, 'x': 8}, {'y': 77, 'x': 43}]",Pass,False,False,False,False,False
41,"[{'y': 64, 'x': 73}, {'y': 69, 'x': 77}]",Pass,False,False,False,False,False
42,"[{'y': 51, 'x': 92}, {'y': 100, 'x': 100}]",Others on the ball,False,False,False,False,False
43,"[{'y': 24, 'x': 81}, {'y': 49, 'x': 84}]",Pass,False,False,False,False,False
44,"[{'y': 73, 'x': 75}, {'y': 81, 'x': 60}]",Pass,False,False,False,False,False
45,"[{'y': 18, 'x': 39}, {'y': 7, 'x': 26}]",Pass,False,False,False,False,False
46,"[{'y': 12, 'x': 85}, {'y': 26, 'x': 96}]",Pass,False,False,False,False,False
47,"[{'y': 20, 'x': 89}, {'y': 100, 'x': 100}]",Free Kick,False,False,False,False,True
48,"[{'y': 28, 'x': 97}, {'y': 31, 'x': 91}]",Others on the ball,False,False,False,False,False
49,"[{'y': 44, 'x': 67}, {'y': 30, 'x': 61}]",Pass,False,False,False,False,False
50,"[{'y': 74, 'x': 77}, {'y': 40, 'x': 91}]",Free Kick,False,False,False,False,False
51,"[{'y': 48, 'x': 83}, {'y': 57, 'x': 81}]",Pass,False,False,False,False,False
52,"[{'y': 12, 'x': 76}, {'y': 29, 'x': 78}]",Pass,False,False,False,False,False
53,"[{'y': 27, 'x': 72}, {'y': 36, 'x': 84}]",Pass,False,False,False,False,False
54,"[{'y': 9, 'x': 63}, {'y': 10, 'x': 91}]",Pass,False,False,False,False,False
55,"[{'y': 18, 'x': 83}, {'y': 19, 'x': 78}]",Pass,False,False,False,False,False
56,"[{'y': 62, 'x': 94}, {'y': 100, 'x': 100}]",Shot,False,False,False,False,True
57,"[{'y': 29, 'x': 71}, {'y': 28, 'x': 69}]",Pass,False,False,False,False,False
58,"[{'y': 89, 'x': 81}, {'y': 96, 'x': 92}]",Pass,False,False,False,False,False
59,"[{'y': 52, 'x': 50}, {'y': 55, 'x': 36}]",Pass,False,False,False,False,False
60,"[{'y': 31, 'x': 89}, {'y': 100, 'x': 100}]",Shot,False,False,False,False,True
61,"[{'y': 4, 'x': 55}, {'y': 11, 'x': 73}]",Pass,False,False,False,False,False
62,"[{'y': 34, 'x': 74}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
63,"[{'y': 17, 'x': 74}, {'y': 22, 'x': 65}]",Pass,False,False,False,False,False
64,"[{'y': 63, 'x': 74}, {'y': 62, 'x': 75}]",Others on the ball,False,False,False,False,False
65,"[{'y': 65, 'x': 73}, {'y': 88, 'x': 84}]",Pass,False,False,False,False,False
66,"[{'y': 69, 'x': 88}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
67,"[{'y': 33, 'x': 90}, {'y': 37, 'x': 90}]",Foul,False,False,False,False,False
68,"[{'y': 31, 'x': 93}, {'y': 5, 'x': 84}]",Others on the ball,False,False,False,False,False
69,"[{'y': 0, 'x': 75}, {'y': 13, 'x': 87}]",Free Kick,False,False,False,False,False
70,"[{'y': 18, 'x': 76}, {'y': 42, 'x': 72}]",Pass,False,False,False,False,False
71,"[{'y': 27, 'x': 77}, {'y': 24, 'x': 90}]",Pass,False,False,False,False,False
72,"[{'y': 2, 'x': 62}, {'y': 19, 'x': 70}]",Others on the ball,False,False,False,False,False
73,"[{'y': 19, 'x': 70}, {'y': 10, 'x': 90}]",Pass,False,False,False,False,False
74,"[{'y': 5, 'x': 74}, {'y': 14, 'x': 60}]",Pass,False,False,False,False,False
75,"[{'y': 24, 'x': 81}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
76,"[{'y': 20, 'x': 71}, {'y': 3, 'x': 71}]",Pass,False,False,False,False,False
77,"[{'y': 25, 'x': 51}, {'y': 30, 'x': 74}]",Others on the ball,False,False,False,False,False
78,"[{'y': 30, 'x': 74}, {'y': 36, 'x': 84}]",Pass,False,False,False,False,False
79,"[{'y': 54, 'x': 86}, {'y': 66, 'x': 91}]",Pass,False,False,False,False,False
80,"[{'y': 5, 'x': 71}, {'y': 7, 'x': 78}]",Pass,False,False,False,False,False
81,"[{'y': 14, 'x': 91}, {'y': 33, 'x': 79}]",Pass,False,False,True,False,False
82,"[{'y': 36, 'x': 86}, {'y': 60, 'x': 76}]",Others on the ball,False,False,False,False,False
83,"[{'y': 29, 'x': 54}, {'y': 31, 'x': 60}]",Others on the ball,False,False,False,False,False
84,"[{'y': 37, 'x': 72}, {'y': 35, 'x': 66}]",Pass,False,False,False,False,False
85,"[{'y': 22, 'x': 43}, {'y': 0, 'x': 60}]",Others on the ball,False,False,False,False,False
86,"[{'y': 14, 'x': 84}, {'y': 0, 'x': 92}]",Others on the ball,False,False,False,False,False
87,"[{'y': 23, 'x': 96}, {'y': 58, 'x': 96}]",Pass,False,False,True,True,False
88,"[{'y': 39, 'x': 70}, {'y': 42, 'x': 65}]",Pass,False,False,False,False,False
89,"[{'y': 37, 'x': 77}, {'y': 47, 'x': 73}]",Others on the ball,False,False,False,False,False
90,"[{'y': 47, 'x': 73}, {'y': 68, 'x': 70}]",Pass,False,False,False,False,False
91,"[{'y': 34, 'x': 78}, {'y': 44, 'x': 93}]",Pass,False,True,False,False,False
92,"[{'y': 37, 'x': 90}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
93,"[{'y': 62, 'x': 93}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
94,"[{'y': 82, 'x': 63}, {'y': 93, 'x': 79}]",Pass,False,False,False,False,False
95,"[{'y': 82, 'x': 76}, {'y': 69, 'x': 72}]",Pass,False,False,False,False,False
96,"[{'y': 7, 'x': 81}, {'y': 19, 'x': 91}]",Others on the ball,False,False,False,False,False
97,"[{'y': 28, 'x': 98}, {'y': 0, 'x': 0}]",Pass,False,False,False,True,False
98,"[{'y': 58, 'x': 90}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,False
99,"[{'y': 42, 'x': 91}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,False
100,"[{'y': 31, 'x': 89}, {'y': 27, 'x': 87}]",Pass,False,False,False,False,False
101,"[{'y': 21, 'x': 66}, {'y': 29, 'x': 63}]",Pass,False,False,False,False,False
102,"[{'y': 19, 'x': 44}, {'y': 24, 'x': 38}]",Pass,False,False,False,False,False
103,"[{'y': 46, 'x': 94}, {'y': 0, 'x': 0}]",Offside,False,False,False,False,False
104,"[{'y': 19, 'x': 72}, {'y': 55, 'x': 87}]",Pass,False,False,False,False,False
105,"[{'y': 21, 'x': 56}, {'y': 18, 'x': 29}]",Pass,False,False,False,False,False
106,"[{'y': 46, 'x': 88}, {'y': 66, 'x': 88}]",Others on the ball,False,False,False,False,False
107,"[{'y': 7, 'x': 76}, {'y': 10, 'x': 94}]",Others on the ball,False,False,False,False,False
108,"[{'y': 28, 'x': 43}, {'y': 24, 'x': 74}]",Others on the ball,False,False,False,False,False
109,"[{'y': 24, 'x': 74}, {'y': 21, 'x': 92}]",Pass,False,False,False,False,False
110,"[{'y': 16, 'x': 43}, {'y': 13, 'x': 53}]",Pass,False,False,False,False,False
111,"[{'y': 61, 'x': 90}, {'y': 71, 'x': 94}]",Others on the ball,False,False,False,False,False
112,"[{'y': 9, 'x': 68}, {'y': 13, 'x': 63}]",Pass,False,False,False,False,False
113,"[{'y': 34, 'x': 88}, {'y': 0, 'x': 0}]",Offside,False,False,False,False,False
114,"[{'y': 70, 'x': 61}, {'y': 60, 'x': 69}]",Pass,False,False,False,False,False
115,"[{'y': 13, 'x': 75}, {'y': 16, 'x': 66}]",Pass,False,False,False,False,False
116,"[{'y': 6, 'x': 74}, {'y': 47, 'x': 95}]",Pass,False,False,True,False,False
117,"[{'y': 82, 'x': 94}, {'y': 45, 'x': 93}]",Pass,False,False,False,False,True
118,"[{'y': 30, 'x': 48}, {'y': 36, 'x': 44}]",Pass,False,False,False,False,False
119,"[{'y': 64, 'x': 89}, {'y': 100, 'x': 100}]",Offside,False,False,False,False,False
120,"[{'y': 94, 'x': 76}, {'y': 96, 'x': 92}]",Pass,False,False,False,False,False
121,"[{'y': 80, 'x': 73}, {'y': 73, 'x': 69}]",Pass,False,False,False,False,False
122,"[{'y': 41, 'x': 65}, {'y': 78, 'x': 73}]",Pass,False,False,False,False,False
123,"[{'y': 48, 'x': 87}, {'y': 100, 'x': 100}]",Shot,False,False,False,False,True
124,"[{'y': 30, 'x': 70}, {'y': 26, 'x': 67}]",Pass,False,False,False,False,False
125,"[{'y': 31, 'x': 82}, {'y': 38, 'x': 80}]",Others on the ball,False,False,False,False,False
126,"[{'y': 14, 'x': 79}, {'y': 12, 'x': 82}]",Pass,False,False,False,False,False
127,"[{'y': 72, 'x': 70}, {'y': 75, 'x': 83}]",Others on the ball,False,False,False,False,False
128,"[{'y': 75, 'x': 83}, {'y': 100, 'x': 100}]",Shot,False,False,False,False,True
129,"[{'y': 29, 'x': 69}, {'y': 14, 'x': 72}]",Pass,False,False,False,False,False
130,"[{'y': 52, 'x': 76}, {'y': 69, 'x': 81}]",Pass,False,False,False,False,False
131,"[{'y': 60, 'x': 75}, {'y': 59, 'x': 82}]",Pass,False,False,False,False,False
132,"[{'y': 51, 'x': 94}, {'y': 72, 'x': 61}]",Others on the ball,False,False,False,False,False
133,"[{'y': 41, 'x': 80}, {'y': 57, 'x': 74}]",Pass,False,False,False,False,False
134,"[{'y': 68, 'x': 56}, {'y': 92, 'x': 67}]",Pass,False,False,False,False,False
135,"[{'y': 7, 'x': 52}, {'y': 34, 'x': 59}]",Pass,False,False,False,False,False
136,"[{'y': 100, 'x': 73}, {'y': 69, 'x': 90}]",Free Kick,False,False,False,False,False
137,"[{'y': 96, 'x': 69}, {'y': 99, 'x': 81}]",Pass,False,False,False,False,False
138,"[{'y': 91, 'x': 75}, {'y': 85, 'x': 81}]",Pass,False,False,False,False,False
139,"[{'y': 69, 'x': 55}, {'y': 96, 'x': 54}]",Pass,False,False,False,False,False
140,"[{'y': 51, 'x': 44}, {'y': 37, 'x': 43}]",Pass,False,False,False,False,False
141,"[{'y': 49, 'x': 72}, {'y': 59, 'x': 75}]",Others on the ball,False,False,False,False,False
142,"[{'y': 73, 'x': 59}, {'y': 62, 'x': 69}]",Pass,False,False,False,False,False
143,"[{'y': 78, 'x': 74}, {'y': 94, 'x': 85}]",Pass,False,False,False,False,False
144,"[{'y': 0, 'x': 62}, {'y': 7, 'x': 55}]",Pass,False,False,False,False,False
145,"[{'y': 0, 'x': 60}, {'y': 5, 'x': 58}]",Pass,False,False,False,False,False
146,"[{'y': 79, 'x': 78}, {'y': 91, 'x': 90}]",Pass,False,False,False,False,False
147,"[{'y': 87, 'x': 76}, {'y': 7, 'x': 68}]",Pass,False,False,False,False,False
148,"[{'y': 50, 'x': 78}, {'y': 100, 'x': 100}]",Free Kick,False,False,False,False,True
149,"[{'y': 43, 'x': 97}, {'y': 100, 'x': 100}]",Shot,False,False,False,True,False
150,"[{'y': 1, 'x': 88}, {'y': 19, 'x': 82}]",Pass,False,False,False,False,False
151,"[{'y': 26, 'x': 86}, {'y': 35, 'x': 85}]",Pass,False,False,False,False,False
152,"[{'y': 90, 'x': 79}, {'y': 100, 'x': 100}]",Offside,False,False,False,False,False
153,"[{'y': 4, 'x': 75}, {'y': 58, 'x': 89}]",Pass,False,False,False,False,True
154,"[{'y': 14, 'x': 82}, {'y': 23, 'x': 74}]",Pass,False,False,False,False,False
155,"[{'y': 60, 'x': 91}, {'y': 100, 'x': 100}]",Shot,True,False,False,False,True
156,"[{'y': 77, 'x': 63}, {'y': 77, 'x': 52}]",Pass,False,False,False,False,False
157,"[{'y': 77, 'x': 64}, {'y': 67, 'x': 62}]",Pass,False,False,False,False,False
158,"[{'y': 61, 'x': 37}, {'y': 60, 'x': 58}]",Pass,False,False,False,False,False
159,"[{'y': 4, 'x': 78}, {'y': 24, 'x': 61}]",Pass,False,False,False,False,False
160,"[{'y': 0, 'x': 68}, {'y': 5, 'x': 71}]",Pass,False,False,False,False,False
161,"[{'y': 38, 'x': 48}, {'y': 42, 'x': 54}]",Pass,False,False,False,False,False
162,"[{'y': 4, 'x': 46}, {'y': 10, 'x': 44}]",Pass,False,False,False,False,False
163,"[{'y': 5, 'x': 55}, {'y': 2, 'x': 52}]",Pass,False,False,False,False,False
164,"[{'y': 3, 'x': 79}, {'y': 61, 'x': 75}]",Pass,False,False,False,False,False
165,"[{'y': 82, 'x': 69}, {'y': 93, 'x': 67}]",Pass,False,False,False,False,False
166,"[{'y': 53, 'x': 80}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
167,"[{'y': 3, 'x': 74}, {'y': 22, 'x': 70}]",Pass,False,False,False,False,False
168,"[{'y': 3, 'x': 50}, {'y': 4, 'x': 57}]",Pass,False,False,False,False,False
169,"[{'y': 91, 'x': 70}, {'y': 83, 'x': 64}]",Pass,False,False,False,False,False
170,"[{'y': 91, 'x': 79}, {'y': 63, 'x': 73}]",Pass,False,False,False,False,False
171,"[{'y': 3, 'x': 54}, {'y': 13, 'x': 44}]",Pass,False,False,False,False,False
172,"[{'y': 54, 'x': 89}, {'y': 0, 'x': 0}]",Offside,False,False,False,False,False
173,"[{'y': 93, 'x': 88}, {'y': 85, 'x': 86}]",Pass,False,False,False,False,False
174,"[{'y': 50, 'x': 8}, {'y': 23, 'x': 22}]",Others on the ball,False,False,False,False,False
175,"[{'y': 4, 'x': 70}, {'y': 5, 'x': 68}]",Pass,False,False,False,False,False
176,"[{'y': 2, 'x': 57}, {'y': 3, 'x': 52}]",Pass,False,False,False,False,False
177,"[{'y': 2, 'x': 73}, {'y': 20, 'x': 94}]",Pass,False,False,False,False,False
178,"[{'y': 80, 'x': 75}, {'y': 86, 'x': 69}]",Pass,False,False,False,False,False
179,"[{'y': 92, 'x': 63}, {'y': 73, 'x': 75}]",Others on the ball,False,False,False,False,False
180,"[{'y': 73, 'x': 75}, {'y': 0, 'x': 0}]",Pass,False,False,False,False,False
181,"[{'y': 31, 'x': 56}, {'y': 40, 'x': 60}]",Pass,False,False,False,False,False
182,"[{'y': 27, 'x': 81}, {'y': 14, 'x': 87}]",Others on the ball,False,False,False,False,False
183,"[{'y': 61, 'x': 76}, {'y': 0, 'x': 0}]",Free Kick,False,False,False,False,True
184,"[{'y': 100, 'x': 68}, {'y': 94, 'x': 66}]",Free Kick,False,False,False,False,False
185,"[{'y': 98, 'x': 69}, {'y': 98, 'x': 59}]",Pass,False,False,False,False,False
186,"[{'y': 89, 'x': 68}, {'y': 97, 'x': 68}]",Pass,False,False,False,False,False
187,"[{'y': 66, 'x': 74}, {'y': 62, 'x': 91}]",Others on the ball,False,False,False,False,False
188,"[{'y': 62, 'x': 91}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
189,"[{'y': 74, 'x': 55}, {'y': 64, 'x': 62}]",Others on the ball,False,False,False,False,False
190,"[{'y': 75, 'x': 58}, {'y': 67, 'x': 67}]",Pass,False,False,False,False,False
191,"[{'y': 100, 'x': 47}, {'y': 97, 'x': 80}]",Free Kick,False,False,False,False,False
192,"[{'y': 59, 'x': 80}, {'y': 43, 'x': 88}]",Pass,False,False,False,False,False
193,"[{'y': 18, 'x': 58}, {'y': 36, 'x': 65}]",Pass,False,False,False,False,False
194,"[{'y': 66, 'x': 97}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
195,"[{'y': 69, 'x': 91}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
196,"[{'y': 45, 'x': 78}, {'y': 68, 'x': 82}]",Pass,False,False,False,False,False
197,"[{'y': 6, 'x': 57}, {'y': 15, 'x': 57}]",Pass,False,False,False,False,False
198,"[{'y': 4, 'x': 57}, {'y': 21, 'x': 46}]",Pass,False,False,False,False,False
